,comment
1948,А ещё видео про детский дом будет ?
1949,https://youtu.be/gFl0TzhjyLA
1950,я грузин живу в францю
1951,ти должен поговорит сомнои
1952,Как бесит эта Адель 🤦🏻‍♀️ Прям как затычка женская! 🤦🏻‍♀️ Везде лезит
1953,"Вот прям ни разу не постанова, спасибо за ""контент"""
1954,"Купи м4 Саида, она в авито"
1955,"Саид Губденского магина продаётся на авито, мля услышь, отзовизь"
1956,Услышь хоть один раз меня
1957,"Миш, где 100к подписоты тому чуваку которому ты обещал?  В топ визде, чтобы он увидел!"
1958,а адель и литвин вместе что ли? у них контракт вроде был
1959,Санечка снимаешь??
1960,Настя это разнос😂😂😂😂
1961,"Литвин, люблю тебя"
1962,Лучший
1963,"Миша, позови Бузову , будет интересно"
1964,"Миша у меня есть первая машина  Эдварда  била . могу продать , если ты видишь мой коммент напиши мне , я тебе покидаю фотки с ним ."
1965,ебать ржачь я вахъуе
1966,жду 3 часть
1967,"Бля, я чуть не обоссалась от смеха, когда у Ивлеевой не получалось вытянуть рыбу и она удочку курить начала"
1968,Мда.... Для чего такие видео в массы??? 😵‍💫вас могут дети смотреть...
1969,Подари мне пс5
1970,"Поржала с Насти, а Литвина жалко, он в комотозе, говорить не может, а все про подписку. Этот бизнес им рулит, он зависим!"
1971,"ливтин, че с инстой твоей?"
1972,"Мишаня, где видосы чтот долго не выпускаешь, очень ждууу"
1973,Херня
1974,Ивлеева как мужик разговаривает))
1975,Настюха ваще топчик
1976,"Литвин помоги пожалуйста Ютуб не пропускает эти слова, скинь пожалуйста денег понимаю не прилично, ну тут ситуация сам понимаешь на карту 4377 7237 8882 9772"
1977,Конец угар
1978,Я 100% выйграл бы
1979,"Я конечно не в тему сейчас к комментариям , но когда парят в кабинете, и доктор в перчатках трогает телефон и как не в чем не бывало, не знаю как туда люди потом идут зубки свои лечить."
1980,Это не мировой контент....
1981,Настька молодец ты вообще крутая никто из девочек лучше бы не смог
1982,С НАСТЮХИ ПООРАЛ
1983,Бустера было бы классно!!
1984,Me encantan
1985,Позови Амину тендерлибай в 3 или 4 часть
1986,"Миша,норм выпуск.Подписался.Насте отдельный респект 👍"
1987,Бро привет
1988,"Господи видно, что Миша не любит свою девушку, как и она его не во что не ставит. Он к Насте лучше относится не желе к девушке. Успехов тебе Миш слушай свое сердечко и все будет хорошо"
1989,"Это очень интересное шоу особенно если под Сидацией у человека начнётся шок на препарат и кто-нибудь протянет ноги. И в частности у многих аллергия на ультракаины что повышает риски и проводниковая накапливается в организме. Вопрос на хрена это делать и когда посадят врача, за по сути незаконные деятельность т. к водить без надобности такие препараты незаконно. И ни один уважающий специалист никогда на ни пойдёт на такие риск т. к сидеть за тупость нет желания."
1990,Позови Пашу техника))
1991,"Подскажите, на какой минуту литвин, чтото сказал своей девушке?  Как он отошёл, о сказала ,, дома поговорим,,"
1992,"Здравствуйте сегодня снемите пожалуйста перестрелку теми самыми водными пистолетами , Водяные прятки ‘"
1993,бустера в студию
1994,Что с инстой?
1995,Ты топ ты лучший люблю длинные ролики
1996,Давайте Пашу техника. Ему вводить даже ничего не надо
1997,Мне кажется или у всех девушек Литвина одинаковая подача речи и голоса похожие
1998,У меня время 15:30 и он продержался также первый чел
1999,Настя ивлеева
2000,Ае
2001,Интересно было бы увидеть плохого парня и Кореша)))
2002,Мне кажется Насте меньше дозу ввели нарочно)
2003,Очень пиздатый ролик где актив должен лям лайков быть
2004,Зачем ты женился а потом бросил мне твою бывшую жалка
2005,Литвин давай третью часть ржака пипец
2006,"Это просто дно !!!! Люди вы идиоты кто считает , что это здорово ! Лекарственные препараты это не игрушки !"
2007,Привет Миш в ты знал что тачку Саида продают на Авито ?
2008,😂🤙🏻🤙🏻🤙🏻
2009,Просто Настюха лучшая
2010,"Это что за доктор провел данную процедуру??? Этика? Врачебный долг?? Над пациентами в кресле при манипуляцих также угораете??

Как в принципе в голову пришло у кого-то сниматься и участвовать в таком??"
2011,Настюшка лучшая🔥🔥🔥
2012,Восхождение на Эверест.
2013,"Бляяя, ну ребят контент ахуенный , но почему лайков так мало, давайте поддержим за такой качественный видос и оценим его заслуженно больше лайков"
2014,Как обычно парадевич победитель
2015,"Почему литвин закинул 2 мяча в баскетболе по +15 с, а по факту посчитали как 1 минута? 15+15=30 с....."
2016,Дичь какая-то 🤦🏻‍♀️. Для таких инициаторов этого треша отдельный котёл в аду…
2017,"Тот самый момент когда курили одно, а накрыло по рызному"
2018,Литвин ты тооооп
2019,Литвиии тыыы ТООООПППП
2020,Чет Мишаня видосы редко стал выкладывать(
2021,"Бустер, Крид, Гордей"
2022,"Много мата, не в тему, не возможно слушать"
2023,Сиииу😂
2024,Миш приглоси Масленникова пожалуйста
2025,Мишаня Клим просил те передать https://m.youtube.com/watch?v=P2jefnwINQo
2026,Настенька вообще умничка правильные слова сказала поддержка ребят чтобы радовали нас новыми видео респект и уважуха тебе Мишаня 💪💪💪
2027,"печально, что большая часть подписчиков и комментаторов-тупые люди. надеюсь тебя забанят. буду жаловаться на все видосы. это не шутки"
2028,"Литвин, я люблю тебя"
2029,здесь думать не надо кто выиграл
2030,Настя с удочкой это  просто ТОП!!!Так я давно не ржала🤣🤣🤣
2031,Блевотня
2032,Литвин привет а зачем продают БМВ Саида за 900000 ка ?
2033,Литвин ты обещал сделать футбольное поле детскому дому
2034,"Литвин я тебя люблю, ты за Украину или россию?"
2035,"Ну она спалилась, шабит конкретно😄"
2036,Орнула в голос 😂
2037,"Мишаня!!! Машину Саида выставили на продажу, в память о твоём друге, я  купил и восстановил бы на твоём месте, всё знают, ты имеешь финансовые  возможности восстановить такую машину."
2038,Зовите самого лучшего блогера Всея Руси Дмитрия Масленикова🔥Без него контент не идёт по маслу🔥
2039,кому интересно следуйщее видео кто попадёт ментосом в бутылку колы забирает машину
2040,"Ждееем Бустера Диму Масленникова и Тебя битва , кто дальше уедет от Москвы , Оба могут и могут конкурировать"
2041,"Мне кажется дело в весе, просто выигрывают самые лёгкие у них доза меньше и им легче"
2042,Как всегда топ! Поржал от души брат)
2043,лучше бы грибами закинулись
2044,Перед тем как начать смотреть 3 крышки ебанул и с кайфом угарнул
2045,"Ей!!!!! 

Вам не кажется. Что это пиздец? Формат под медикаментами это пиздец .. вам всем норм??"
2046,Мне кажется Парадеевич и его друг били лишние в ролике ровного пацана ливина
2047,"Это ужасно. Это опасная процедура, которая имеет риски для здоровья, ничего смешного в этом нету🥴"
2048,3 часть без Славы можешь и не выкладывать ну чё это за нахрен блин
2049,что за трек на фоне на 26:00 ?
2050,"Бля почему эта девочка со своим мамским синдромом и «Ильяша, Ильяша» такая эноинг 🥲"
2051,"Настя просто орррр😂😂😂😂 когда начала дуть в удочку, прям до слез 😂😂😂😂😂😂"
2052,"А меня одного напрягает постоянно маячить ""якобы девушка Адель""? Что за мнимый эталон красоты, где от девушки у нее разве что прическа, остальное все убогое пародие на красоту женскую"
2053,"девушка ведет себя как мама Ильи 
какой кринж"
2054,Лично мне зашёл как Литвин пел Вот это
2055,👍👍👍👍👍👍👍👍
2056,"Телка в чёрном  пиджаке больше всех хотела выиграть пол ляма .
Илью типо поддерживала,заебывала его самыми тупыми вопроса вечно  🤢"
2057,Это первое видео когда парадеич проиграл
2058,Настя красавчик просто❤️
2059,так Подписался поставил лайк и комм Литвин я люблю тебя брат
2060,51:48 КОМААААР
2061,"Настя когда запела с ребятами аж прослезился,просто супер🤣"
2062,Насыщенное видео!. Все порадовали!.
2063,"Афигенный выпуск, Настюха лучшая❤❤❤❤❤"
2064,Игра со смертью!
2065,"Адель прям так переживала за Мишу, а эта Каролина за Илью вообще нет,она больше переживала за 500 тысяч"
2066,Накрутили этой помойке просмотров.
2067,Позови фраметамера
2068,Хотелось бы качество 2160р
2069,Литвин ты лутший
2070,Я тебя люблю Литвин
2071,Обычный симулятор Паши техника
2072,"Зай, зай, зай. Девушка в отводе, заебай. Сыворотка правды, все раскалилась 🤪😘"
2073,Дно пробито. Колоть седацию и ржать.
2074,"как же бесит эта «девушка» литвина, весь выпуск своими воплями испортила(("
2075,2 недели уже нет видосов
2076,Можно и Дима гордейа
2077,"Было круто  и весело)
Жду Настю в чемпионах после финала) 👌🔥💪 все же такой результат,  капец 🔥🔥🔥"
2078,позови MACANа в след видос
2079,"Читаю комменты и офигеваю. Народ, вы реально не понимаете, что такие «приколы» могут быть опасными для жизни человека вплоть до летального исхода?"
2080,Бустера нааам!!!
2081,МАтерщинники ДИЗЛАЙК
2082,Литвин ты красава
2083,Клёвые ребятки
2084,пашу техника позовите на такое)
2085,"будет очень прикольно, если вы позовёте бустера))"
2086,что за сапоги на заднем фоне бегают- блевотные.....
2087,42:03  угаааааааар😂 Настюшкааа
2088,"Литвин я люблю тебя, зови бустера 😁"
2089,миша сезди на прохват роману крбатову будет круто 🔥🔥🔥
2090,Привет   памагите   пожалуста   мне  денги  нужна    пожалуста   5228600512545486 ета  мой  карта  сбербанк
2091,ЛИТВИН ЖДУ ЛЯМА ЕДРИТ ТВОЮ КОРЕНЬ
2092,парадевич хорош
2093,"Как же хочется видеть Бустера, Масленникова и Крида😍🔥"
2094,🔥🔥🔥🔥
2095,Жк гелакси сочи ; жк генезис в китае!!
2096,Жк sky хаус шаболовская; жк триумф палас; истра парк динамо; прайм парк между динамо и аэропортом ;  жк павелецкая сити; капитал хаус;  манхетан хаус динамо!!
2097,"Приветствую тебя автор канала. Респект и уважуха тебе, охотно смотрю видео. Её сть хорошая тематика, и такая же тема по формату и тематике вашего канала. Интересная история её сть, про пацана.... После аварии без ног.... Живёт в деревни..... Две маленькие дочери..... С женой в разводе.... И помимо этого есть предложение, может зрителю понравится моя история заодно, мой новый канал и тематика истории про тюрьму, но и добрые дела тоже в помощь кому. Этот пацан еще выигрывал по нашей области в бильярд. Если заинтересует тема, то черкни. Сам охотно дам интервью"
2098,Настя точно бухает ))) в отличие от парней
2099,"Литвин, думаю до тебя это не дойдёт, да и впринципи похер, я смотрел тебя с самого начала, все ролики, но последнее время даже досматривать перестал и причина не твой уровень, а эта змея, даже не змея, это хитрожопая ведьма, я про Адель, по ней видно что это хитровы@баная баба и жаль, что сделав Юле предложуху ты расстался с ней, не знаю почему, но тем не менее, а Адель это просто жесть, таких стерв поискать ещё надо и рано или поздно ты поймёшь это, она кинет тебя при первых же проблемах и на Хайпе заживет, только малолеткам она по душе."
2100,"Люди,Миша же попросил написать что мы его любим.Пишите вхпхвхсххахсхасх"
2101,Ивлеева это Паша Техник на минималках
2102,БУСТЕР ТОЧНО ДОЛЖЕН Быть.
2103,"2 года назад ты обещал, что снова приедешь в детский дом и у тебя дикое желание сделать им футбольное поле. Когда ты вернёшься к этим детям и сыграешь с ними в футбол?!"
2104,"Ексайл топ, до слез ахахахахахахахахаха"
2105,Взрослые ребята вроде..
2106,Настюшка опасность топ🔥🔥🔥🔥
2107,Ждём Мармока😂
2108,Ядерная боеголовка заряжена) Прям у тебя из жопы вылетит
2109,Литвин ты лучший блогер в мире я тебя люблю
2110,Блин братух ты красавчик самы смели пацан уважуха с Таджикистана
2111,"Редко смеюсь с роликов,  этот зацепил,  смеялся в голос)"
2112,"Настюшка, дуй на рыбалку)"
2113,А что миха сказал про девушку ?
2114,Миша я уважаю тебя ✊🏻❤️
2115,Илюха и Настя вытащили это видео очень ржачно было
2116,👍👍👍
2117,ЛИТВИН Я ЛЮБЛЮ ТЕБЯ ! МОЯ МАМА !
2118,ЖДЁМ МАСЛЕННИКОВА
2119,Давай в следующем выпуске с Щербаковым 😂😂😂
2120,1:03:50 он про Саида Губденского?
2121,"Приветствую тебя автор канала. Респект и уважуха тебе, охотно смотрю видео. Её сть хорошая тематика, и такая же тема по формату и тематике вашего канала. Интересная история её сть, про пацана.... После аварии без ног.... Живёт в деревни..... Две маленькие дочери..... С женой в разводе.... И помимо этого есть предложение, может зрителю понравится моя история заодно, мой новый канал и тематика истории про тюрьму, но и добрые дела тоже в помощь кому. Этот пацан еще выигрывал по нашей области в бильярд. Если заинтересует тема, то пиши."
2122,Я просто отписался от него
2123,"Бля, типа видео забавное, ситуация страшная… ну лично для меня. Меня тоже Саша зовут и когда они говорили «Саша, ты нас слышишь? Не закрывай глаза». Я вспомнила как лежала после операций, под наркозом и после наркоза, и я клянусь, я просто сейчас заплакала… потому что это такие жуткие ощущения, когда ты начинаешь отрубаться и терять коннект с миром пипец"
2124,Настя 🔥🔥🔥🔥
2125,ЖДЁМ ФРАМЕ ТАМЕРА!!!
2126,Мишаня давай уже на Бали хочу узнать что с тем пацанчиком!😄
2127,Пожалуйста позовите бустера
2128,"кто в наркологии состоит на учёте , или на грани туда попасть , тот и в финале !!!!!!!!!!!!!!!!!!!!!!!!!!!"
2129,"Базара ноль,тема 😂✊🏼✊🏼"
2130,"Ложь пиздежь, Ивлеева не 46кг весит, так что вы неправильно пропорции въебали"
2131,Это уровень 🫡
2132,Родненький жду)
2133,Кориша не хватает (
2134,"Маккана Андрюху,пригласи...."
2135,"Забавный факт: 
Обычное состояние Паши Техника нечем не отличается от Седации)"
2136,что за песню пел Миша с Адель
2137,А что он сказал?
2138,"Автомобили под полную пошлину, цена указана под ключ! При заказе автомобиля предоставляется отчет по машине с доп. фото и видео, наши сотрудники осматривают автомобили лично! Подбираем под параметры наших клиентов! Мы занимаемся подбором авто из Японии. Кореи .США . ОАЭ под ключ уже 8 лет!"
2139,"Бля, Саня просто квинтесенция добра."
2140,Парадевич машина
2141,Литвин я люблю тебя!
2142,"Мишаня ты лучший
Победит парадевич:)"
2143,"Позовите басту или Гуфа ,было бы интересно!"
2144,28:55 я выпал😂😂
2145,+
2146,❤️❤️❤️❤️
2147,https://youtu.be/NBKg9vZ52tI
2148,Только начал смотреть парадевич победил
2149,Получается в финале будет Клава кока и Настюша опасность 😻😻😻
2150,"Битва была не честная, как в самом начале сказал доктор, людей в первой половине дня засыпают дольше чем во второй,и судя по этому время съемок шло, часы на месте не стояли и время подходило ко второй половине, можно даже увидеть то что они совсем в разное время отрубились, я не доволен этим видео...."
2151,Давай Диму Масленикова на следущий  раунд
2152,Приветствую Миша нехочешь позвонить там парню который выграл Тайкан ?
2153,настюха лучшая
2154,литвиииин
2155,литвин ты лучший
2156,Миша к Адель вообще никакой 😅 совсем не замечает(
2157,"Миша , пригласи пожалуйста Диму Масленникова. Кто тоже за , ставте 👍👍👍 чтобы Литвин увидел"
2158,новое видео миша пж уже  13 дней нету
2159,"все просто Ивлеева столько кокса бахала, ее уже так просто не берет )"
2160,"литвин, я люблю тебя"
2161,Дибылы тут наркоз делать перед операцией не хочется потому что -5лет жизни
2162,Крутая идея ждём финала Мишань))
2163,Литвин ты самый лучший блогер самый самый самый лучший тебе большой респект❤👍
2164,я ржал как никогда когда настя через удочку затяг делала🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
2165,"Вот вам смешно а Настя пыталась бороться с непониманием! Хахаха
А ещё она так в конце сказала а рыба где?? Хахаха"
2166,Миша купи 5 тысяч сигарет и сожги их
2167,Нормально снимай а
2168,Литвин ты чо как мертвый разговариваешь
2169,Настя вобще ебать машина🤣🤣🤣🤣🤣
2170,Настя топ я видил её в рекламе МТС.....
2171,Бустера тоже позови!
2172,Кааак? Я через 10 секунд засыпал😂
2173,"Ещё не смотрел, но думаю Саня победил"
2174,"Лайк если Автор красавчик 
👇
🖒"
2175,Очень смешно наблюдать за попытками Ивлеевой напомнить о себе забытой)
2176,"Мишаня
Девушка твоя неискреняя,и наёбывает тебя,когда ты узнаешь об этом,сильно удивишься,и огорчишься!!"
2177,"Мишаня, пускай не осознанно но ты сказал то что сказал по поводу Адель, если заметишь, было бы круто если бы ты выпустил видос на канал с извинением перед ней, RESPECT"
2178,ЛИТВИН СНИМИ ВИДИО ПРО МАШИНЫ ИЛИ ЧТО ТО ТАКОЕ  ПЖ УВИДЬ
2179,ЛИТВИН Я ТЕБЯ ЛЮБЛЮ ВЫХОДИ ЗА МЕНЯ
2180,"Лучший, ничего что время меньше, выпуск огонь 🔥"
2181,Девушка Иксайла бесит
2182,57:02 ахахахахахахахаха
2183,Настюха любит дуть!
2184,"Почему бы не сделать среди подписчиков так же, ребята поддержите лайк 👍 чтобы Миша увидел)"
2185,Меня стошнило от видоса
2186,Я плачу от смеха
2187,Литвин Я люблю тебя!
2188,✊✊✊✊✊ в перёд
2189,"Меня одну начало тошнить от блюра , буд то я сама под наркозом 😃?"
2190,Литвин купи машину Саида бмв Браво и почини станет легендой (ДЕНЬ 1)
2191,Литвин когда новый ролик
2192,"Миша,выпуск топчик 🔥Зови Диму  Масленикова, будет очень интересно ахахах"
2193,"Литвин будет ли бой с вадимом вадимычем 😈😈😈😈😈😈😈😈""залацкайте чтобы увидел"""
2194,Давайте до 10.000.000.      Добем
2195,А ивлеева то шарит за куреху
2196,"Мне одному показалось, что Адель прогнала"
2197,"ИДИТЕ НА ПЕРЕДОВУЮ,  ТАМ УЗНАЕТЕ ,КТО ПЕРВЫЙ!! РАЗИ ВЫ ЗА!?"
2198,еще до конца не досмотрел но уже лукас
2199,мишаня позови еще и бустера будет еще угарней хахахахаха
2200,Лайкните что бы он пригласил куертова и плохого поца
2201,"Настя лучшая , как же я стебалась с ее моментов 🤣🤣🤣"
2202,А мне во время наркоза такие ах¥еные мультики показывали что мне понравился наркоз👍
2203,"Миша привет, сегодня сфоткайся с Аделиной, вообще не ожидал встретить её в Котласе😍🔥"
2204,Мне PS4 пожалуйста
2205,"у девушек метаболизм медленнее, поэтому держатся больше"
2206,Настя лучшая!!!
2207,"Литвин, давно Саида не было в роликах, позови его на 3 часть!"
2208,"Блять пока этого илюшу смотрела 5 раз выбесил,как хорошо что он не пьет, иначе был бы пиздец"
2209,Блин вы можете  подсесть это как на наркотики как на метадон
2210,простопреложениеавысами думате пелагея;  ира смелая; икогонебуть еще 4ту атапосколькублогеров ди тиктокеров до фигатоприглашать насидацыю можнокого угоно
2211,"Мишаня, расскажи секрет как за пол часа скинул килограмм)))😂😂😂"
2212,3 тур алексанр габар или  дмитрий маслеников ; карина кросс;  ( юлия литвина)  дава;  интересно посмотреть кто будет ?? кто согласится ;;; точто сверхунаписа я простопреложил !!!?? решать канечножевам
2213,"Приехал в Москву из под питера.... Так хотелось гуляя здесь наткнуться на Мишаню... Просто мечта.... Ппц... Мишааааааа... Ты где??? Дай мечте исполнится!!!!!Литвин, делай вещи!!! Напиши! Раз в жизни приехал, другого раза не выдастся, очень дорого.... Блин.... Мишаня! Докажи что ты крут!"
2214,"илья в опьяненном состоянии это нечто, ХАХАХАХХАХАХАХА"
2215,"Го Степанова туда,ему понравиться"
2216,Ивлеева когда вместо калика и бакала дали стакан и зажим
2217,"В следующий раз добавьте в задание скороговорку, если скажут то + минута.
(говорить скороговорку на 5 минуте)"
2218,"настя лучшая, больше всего с неё смеялась"
2219,650к подписчиков и у литвина 10миллионов подписчиков!:)
2220,Позови Полковника Бустеренко!!!
2221,парадеевич под наркозом стал похож на пашу техника
2222,"Литвин, я люблю тебя"
2223,Литвин брат я уже смотрю твой канал уже 3 года брат можеш чисто пранк над Аделой что ты ей изменил
2224,"Я кончено нечего не говорю, ноя ушёл за 3 минуты в сон 🤷‍♂️"
2225,"Миша, тебе ведь не сложно , а девочки только учаться"
2226,вам ведь не сложно а девочкам приятно
2227,я не поняла из за чего на Мишу его девушка обиделась?
2228,Видно что наигранная хуета
2229,Адские клоуны
2230,"Го на 10 Лямов закажи Бентли с алика))

Го в топ!!"
2231,"Литвин я люблю тебя,Настя Евлеева😱😱😱😱"
2232,"Не смотря ролик, выиграл Парадеевич"
2233,Когда новый ролик
2234,Вам не кажется. Что это пиздец? Формат под медикаментами это пиздец .. вам всем норм??
2235,"Михаил Литвин у меня есть идея с кем в Следующей части снять:С Субо, 
Моргенштерном, Дава, и Джарахов))) 💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪"
2236,Литвин мы любим тебя
2237,Требую бустера в 3 части!
2238,"миша,го ролик кто последни уснёт!!!
за лайкайте пожалуйста что бы миша увидел"
2239,Ты лутчий красавчик😁😀👍
2240,Ты топ
2241,Литвин радной приезжай в Узбекистан
2242,"Пригласи пашу техника, думаю будет ещё веселее, возможно он даже и не уснёт))))"
2243,"Литвинушка, пригласи бывшую девушку Юлю, будет топ"
2244,я не смотрела ставки на сашу парадеича
2245,Егора Крида позови
2246,Чушь полная
2247,@Вызов Пусть меня позовут на эту передачу я маленький худенький но я порву их всех! Миша принимай вызов !
2248,Ивлеева бывалая 😃😂😀😄🤣
2249,"Мишаня,жги,войди в историю!"
2250,"Блин прикольно 😀 лиж бы все были здоровы. Можно было ещё чтоб , кто там есть познакомились прохожими и разыграть между прохожих💪💪 а так я тоже попробывал бы что за тема это 🙈🙊🤦"
2251,Парадеич соло
2252,"Литвин братишка ты лучший, хотелось бы фотку с тобой! Надеюсь побыстрее добьём тебе 10 мультов"
2253,Ахахахаха такие глазки у него появились)❤️Миха тебе идёт
2254,Я с Ивлеевской дудки в голос заржал прям на работе )))0 Вот это ржака. Спалился млять
2255,"Габар первый выпустил такое, ты идею взял у него"
2256,Это же плагиат
2257,литвин я тебя люблю
2258,"💪😂В следующую серию надо Дорохова, Бустера, и Джавида 💪😂"
2259,Литвин сделай машну BMV  M4 2021 саидова ани хотят падать за 650000 на запчасти сделай машну это памет а саида
2260,Мишка ты лучший братан слова Насти просто наверно всех вдохновило написать комент поставить лайк вообще лучший контент братан ты лучший
2261,Настя уже с Лёхой помирились??
2262,"Выпуск просто бомба, но есть одно но, Настя пропагандирует дуньку, ребята, не начинайте, это начало вашего конца"
2263,"Миша, я нашёл в продаже машину Саида после дтп."
2264,31:07 кто понял почему она в себе держала?))
2265,Давай Крида
2266,"Да гоу 
Да гоу 
Гоу гоу 
ХАХААХААХААХААХАХА ивлеева  конечно дала жару"
2267,Техник бы вообще не вырубился
2268,Как всегда на уровни весело с душой
2269,"Я сам пытаюсь не заснуть смотря этот видос, ребята круто делают))"
2270,Юля Гаврилина?
2271,"Мишаня, ты вообще здррррррраааавый пацан, красавчик вообще, очень нравится смотреть твои ролики, удачи тебе во всех твоих начинаниях, и вообще везде, продолжай в том же  своëм межгалактическом духе. 
а и да точно чуть не забыл
Я ЛЮБЛЮ ТЕБЯ АХАХАЗАХ)"
2272,"ЛИТВИН Я ЛЮБЛЮ ТЕБЯ,ВЫХОДИ ЗА МЕНЯ"
2273,"""Шина лопнула"" опять в ролике засветилась)))"
2274,"Чёт Настя❤️ постарела как будто резко 😣,  за небольшой промежуток времени"
2275,ахаххахаахах Скоро в тюрму))))))
2276,как всегда топ ролик
2277,Позови Мияги
2278,Нахуя руку держать и помогать🤦🏻‍♂️
2279,"Бля, думаю на кого похожа Ивлеева?) - на Варламова ебать)))"
2280,Попробуй сделать собачий кайф
2281,"Мне нравиться пьяные люди, как Эксайл)"
2282,я так и знал что будет ивлеева
2283,Как всегда литвин топчик благадарю за контент
2284,✌🏽✌🏽🔥🔥
2285,Миша литвин доказал если поставить цель то обязательно  дойдёшь  до ней и будешь  успешным человеком в жизне .  Что я думаю  бро я задумался и буду стремится  к невозможному  спасибо бро  ты лучший  удачи дальше делай офигенные контенты
2286,"Литвин, сожги свою хату за 90 лямов как ты говорил.......хайпани СЛАБО.....?"
2287,"Девушка Ильи ведёт себя как мать, кринжанула"
2288,"Такое вступление отвратительное. Уже не нравится. Если бы не комментарии и Ивлеева, выключила бы на первой минуте"
2289,Очень классный выпуск
2290,ЛИТВИН Я ЛЮБЛЮ ТЕБЯ.ИЛЮХА ТОП
2291,АХАХАХАХАХАХАХ НАСТЯ ЛУЧШАЯ
2292,https://youtu.be/EJTH4gDGPJ0
2293,cv
2294,Миша тебе кинуть вызов
2295,А как он их будит я не понял ?
2296,Миш привет меня зовут Ренат у меня есть кое-что связанное с саидом надеюсь ты ответишь мне на комментарий для дальнейшей связи лайкните чтобы мишаня увидел 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
2297,"Я одна заметила, что когда Илья стал говорить кого он любит он сказал: Кореша, Парадеича, Плохого парня, Саню Фрейм теймера, но не сказал про Куертова"
2298,Настя вообще пушка толкова получилось )
2299,"бесит эта шобла литвина которая за ним везде носится каждый раз дизлайк буду ставить,кстати лайки накручены"
2300,ТИПЕР ЛІТВІН СТАВ ЄБЛАНО
2301,Миша красава
2302,Литвин чаще ролики давай малой)
2303,"Бустера надо позвать такое расскажет, потом фрем таймера как и хотел, а дальше кореша и костика (плохого парня"
2304,Литвин я люблю тебя брат
2305,Мишка молодчага это уровень )
2306,"мдааа видно как девушка Ильи хочет 1млн рублей. . . Писец
А ещё Илья всё видео так на Настю смотрел 😍"
2307,"Не, это фулл хуйня, челлендж ведь кто последний уснет, а не кто последний выронит стакан, пизда Илюху слили"
2308,"Очень посмеялся! Афигенный выпуск, ждем следующий!!!"
2309,"Когда они уснут на день на них очки виртуальной реальности и посмотри на реакцию  
Залайкайте чтоб Миша увидел"
2310,ЛИТВИН Я ЛЮБЛЮ ТЕБЯ ИЛЬЯ ИКСАЙЛ
2311,"Не люблю на самом деле Литвина, но это видео - это лучшее, что я видела на ютубе 😂"
2312,Это был жесточайший ор когда Настя доставала удочкой рыбку и одновременно дудела🤣🤣🤣
2313,43:46
2314,22 года да ты еще пиз....
2315,Литвин можно Элджея пж пж пж пж!
2316,"Некоторые люди на выходных собираются побухать, а литвин с друзьями собираются в клинику на капельницу)"
2317,Литвин я люблю тебя
2318,Можно ещё роликов с Илюхой и Саней? Классные ребята!
2319,Что за трек на 26 минуте?
2320,"Каролина пиздец кринжа, училка диванная, выучила слово кс и ""пошутила"" 12 раз ровно"
2321,Да где блин Контакты или соцсети этого стоматолога и клиники😢
2322,"Го короче мелон мюзик например  163 onimyneck, skalli milano"
2323,🇩🇿🇩🇿🇩🇿🤍🇷🇺🇷🇺🇷🇺✈🇰🇵
2324,Love u brother from algeria 🇩🇿🤍🇷🇺
2325,"Та самая девочка, которая думает, что ее парень, слушает только ее:"
2326,выиграет парадеевич я уже знаю
2327,Литвин купи машину Саида на Авито
2328,Литвин купи машину Саида на Авито
2329,"Дарова я Никита из Красноярска я твой подписчик я мечтаю тебя увидеть, Ты крутой😎😎😁"
2330,Литвин купи машину Саида на Авито
2331,Литвин купи машину Саида на Авито
2332,Посмеялся от души сразу Подписка палец в верх молодец литвин удачи тебе всех благ и надёжных людей рядом
2333,"Рому Кагроманова, Валю Карнавал, Катю Голышеву и Егора Шипа"
2334,Litvin❤️
2335,"девушка ильи, огромное спасибо за телефон в камере 🥰"
2336,меньше мата
2337,Бля видос топ такой угар прямо настроение поднял. Спасибо продолжай делать такой же крутой и веселый контент
2338,"Литвин , суба"
2339,*ИНТЕРЕСНЫЙ ФАКТ Я ОБЫЧНЫЙ ПАРЕНЬ СНИМАЮ ВИДЕО НО НА МЕНЯ НЕ КТО НЕ ПОДПИСЫВАЕТСЯ*
2340,фу как противно его слушать! мат через мат!
2341,Ивлеева постарела пздц просто
2342,53:53
2343,"Мишань, давай Пашу Техника, он просто порвет контент!! )))"
2344,Комментарий для продвижения номер 2
2345,Комментарий для продвижения номер 1
2346,Го 3
2347,Литвин люблю тебя
